---Collected Data after WordsCount---
Word: impletata -> Occurrence: 1
Word: also -> Occurrence: 41
Word: hurry -> Occurrence: 10
Word: started -> Occurrence: 26
Word: before -> Occurrence: 274
Word: eight -> Occurrence: 9
Word: ought -> Occurrence: 9
Word: rushing -> Occurrence: 11
Word: sit -> Occurrence: 23
Word: carriage -> Occurrence: 20
Word: than -> Occurrence: 217
Word: began -> Occurrence: 113
Word: move -> Occurrence: 27
Word: further -> Occurrence: 33
Word: you -> Occurrence: 1375
Word: unpunctual -> Occurrence: 1
Word: trains -> Occurrence: 3
Word: what -> Occurrence: 460
Word: china -> Occurrence: 3
Word: day -> Occurrence: 157
Word: long -> Occurrence: 147
Word: seemed -> Occurrence: 243
Word: dawdle -> Occurrence: 1
Word: full -> Occurrence: 87
Word: beauty -> Occurrence: 16
Word: kind -> Occurrence: 57
Word: sometimes -> Occurrence: 20
Word: saw -> Occurrence: 217
Word: towns -> Occurrence: 2
Word: castles -> Occurrence: 2
Word: top -> Occurrence: 20
Word: steep -> Occurrence: 10
Word: hills -> Occurrence: 10
Word: such -> Occurrence: 223
Word: see -> Occurrence: 391
Word: old -> Occurrence: 186
Word: missals -> Occurrence: 1
Word: ran -> Occurrence: 50
Word: rivers -> Occurrence: 2
Word: streams -> Occurrence: 2
Word: wide -> Occurrence: 28
Word: stony -> Occurrence: 2
Word: margin -> Occurrence: 2
Word: each -> Occurrence: 86
Word: side -> Occurrence: 67
Word: subject -> Occurrence: 23
Word: great -> Occurrence: 181
Word: floods -> Occurrence: 1
Word: takes -> Occurrence: 7
Word: lot -> Occurrence: 16
Word: running -> Occurrence: 17
Word: strong -> Occurrence: 56
Word: sweep -> Occurrence: 8
Word: outside -> Occurrence: 35
Word: edge -> Occurrence: 23
Word: river -> Occurrence: 30
Word: clear -> Occurrence: 18
Word: groups -> Occurrence: 2
Word: people -> Occurrence: 43
Word: crowds -> Occurrence: 2
Word: attire -> Occurrence: 2
Word: like -> Occurrence: 274
Word: peasants -> Occurrence: 6
Word: home -> Occurrence: 76
Word: those -> Occurrence: 81
Word: coming -> Occurrence: 112
Word: france -> Occurrence: 2
Word: germany -> Occurrence: 2
Word: short -> Occurrence: 21
Word: jackets -> Occurrence: 1
Word: round -> Occurrence: 106
Word: hats -> Occurrence: 3
Word: homemade -> Occurrence: 1
Word: trousers -> Occurrence: 4
Word: others -> Occurrence: 80
Word: picturesque -> Occurrence: 5
Word: women -> Occurrence: 45
Word: looked -> Occurrence: 184
Word: except -> Occurrence: 36
Word: clumsy -> Occurrence: 2
Word: waist -> Occurrence: 1
Word: white -> Occurrence: 100
Word: sleeves -> Occurrence: 1
Word: other -> Occurrence: 172
Word: big -> Occurrence: 45
Word: belts -> Occurrence: 2
Word: strips -> Occurrence: 2
Word: fluttering -> Occurrence: 1
Word: dresses -> Occurrence: 2
Word: ballet -> Occurrence: 1
Word: course -> Occurrence: 40
Word: petticoats -> Occurrence: 1
Word: strangest -> Occurrence: 2
Word: figures -> Occurrence: 12
Word: slovaks -> Occurrence: 14
Word: barbarian -> Occurrence: 1
Word: rest -> Occurrence: 95
Word: their -> Occurrence: 218
Word: cowboy -> Occurrence: 1
Word: baggy -> Occurrence: 1
Word: dirtywhite -> Occurrence: 1
Word: linen -> Occurrence: 2
Word: shirts -> Occurrence: 1
Word: enormous -> Occurrence: 1
Word: heavy -> Occurrence: 53
Word: leather -> Occurrence: 3
Word: nearly -> Occurrence: 20
Word: foot -> Occurrence: 10
Word: studded -> Occurrence: 3
Word: brass -> Occurrence: 2
Word: nails -> Occurrence: 6
Word: wore -> Occurrence: 6
Word: high -> Occurrence: 37
Word: boots -> Occurrence: 3
Word: tucked -> Occurrence: 3
Word: black -> Occurrence: 33
Word: hair -> Occurrence: 20
Word: moustaches -> Occurrence: 1
Word: look -> Occurrence: 169
Word: prepossessing -> Occurrence: 1
Word: stage -> Occurrence: 4
Word: set -> Occurrence: 63
Word: down -> Occurrence: 252
Word: once -> Occurrence: 179
Word: oriental -> Occurrence: 1
Word: band -> Occurrence: 10
Word: brigands -> Occurrence: 1
Word: however -> Occurrence: 102
Word: told -> Occurrence: 141
Word: harmless -> Occurrence: 3
Word: wanting -> Occurrence: 7
Word: natural -> Occurrence: 9
Word: selfassertion -> Occurrence: 1
Word: dark -> Occurrence: 74
Word: twilight -> Occurrence: 2
Word: being -> Occurrence: 82
Word: practically -> Occurrence: 1
Word: frontierfor -> Occurrence: 1
Word: borgo -> Occurrence: 11
Word: pass -> Occurrence: 42
Word: leads -> Occurrence: 1
Word: bukovinait -> Occurrence: 1
Word: has -> Occurrence: 344
Word: stormy -> Occurrence: 2
Word: existence -> Occurrence: 7
Word: certainly -> Occurrence: 25
Word: shows -> Occurrence: 5
Word: marks -> Occurrence: 6
Word: fifty -> Occurrence: 8
Word: years -> Occurrence: 27
Word: ago -> Occurrence: 26
Word: series -> Occurrence: 5
Word: fires -> Occurrence: 2
Word: terrible -> Occurrence: 97
Word: havoc -> Occurrence: 1
Word: five -> Occurrence: 19
Word: separate -> Occurrence: 1
Word: occasions -> Occurrence: 5
Word: beginning -> Occurrence: 31
Word: seventeenth -> Occurrence: 1
Word: underwent -> Occurrence: 1
Word: siege -> Occurrence: 1
Word: weeks -> Occurrence: 11
Word: lost -> Occurrence: 41
Word: casualties -> Occurrence: 1
Word: war -> Occurrence: 4
Word: proper -> Occurrence: 5
Word: assisted -> Occurrence: 1
Word: famine -> Occurrence: 1
Word: disease -> Occurrence: 6
Word: directed -> Occurrence: 9
Word: golden -> Occurrence: 7
Word: krone -> Occurrence: 1
Word: delight -> Occurrence: 4
Word: thoroughly -> Occurrence: 4
Word: oldfashioned -> Occurrence: 2
Word: wanted -> Occurrence: 43
Word: ways -> Occurrence: 19
Word: evidently -> Occurrence: 50
Word: expected -> Occurrence: 34
Word: faced -> Occurrence: 1
Word: cheerylooking -> Occurrence: 1
Word: elderly -> Occurrence: 3
Word: woman -> Occurrence: 56
Word: usual -> Occurrence: 33
Word: peasant -> Occurrence: 4
Word: dresswhite -> Occurrence: 1
Word: undergarment -> Occurrence: 1
Word: double -> Occurrence: 9
Word: apron -> Occurrence: 1
Word: front -> Occurrence: 21
Word: back -> Occurrence: 259
Word: coloured -> Occurrence: 2
Word: stuff -> Occurrence: 3
Word: fitting -> Occurrence: 1
Word: almost -> Occurrence: 67
Word: too -> Occurrence: 209
Word: tight -> Occurrence: 13
Word: modesty -> Occurrence: 2
Word: close -> Occurrence: 69
Word: she -> Occurrence: 809
Word: bowed -> Occurrence: 13
Word: herr -> Occurrence: 6
Word: englishman -> Occurrence: 1
Word: yes -> Occurrence: 35
Word: harker -> Occurrence: 113
Word: smiled -> Occurrence: 22
Word: gave -> Occurrence: 67
Word: message -> Occurrence: 9
Word: man -> Occurrence: 216
Word: shirtsleeves -> Occurrence: 2
Word: followed -> Occurrence: 28
Word: her -> Occurrence: 1056
Word: went -> Occurrence: 298
Word: immediately -> Occurrence: 6
Word: returned -> Occurrence: 22
Word: letter -> Occurrence: 64
Word: friendwelcome -> Occurrence: 1
Word: anxiously -> Occurrence: 2
Word: expecting -> Occurrence: 1
Word: tonight -> Occurrence: 85
Word: tomorrow -> Occurrence: 45
Word: diligence -> Occurrence: 3
Word: will -> Occurrence: 447
Word: await -> Occurrence: 4
Word: bring -> Occurrence: 32
Word: trust -> Occurrence: 51
Word: your -> Occurrence: 303
Word: journey -> Occurrence: 19
Word: happy -> Occurrence: 45
Word: enjoy -> Occurrence: 4
Word: beautiful -> Occurrence: 31
Word: land -> Occurrence: 36
Word: friend -> Occurrence: 181
Word: mayi -> Occurrence: 5
Word: landlord -> Occurrence: 2
Word: directing -> Occurrence: 1
Word: him -> Occurrence: 941
Word: secure -> Occurrence: 4
Word: best -> Occurrence: 51
Word: coach -> Occurrence: 12
Word: making -> Occurrence: 30
Word: inquiries -> Occurrence: 4
Word: details -> Occurrence: 11
Word: somewhat -> Occurrence: 33
Word: reticent -> Occurrence: 2
Word: pretended -> Occurrence: 2
Word: understand -> Occurrence: 55
Word: true -> Occurrence: 57
Word: because -> Occurrence: 54
Word: understood -> Occurrence: 12
Word: perfectly -> Occurrence: 4
Word: answered -> Occurrence: 60
Word: questions -> Occurrence: 26
Word: exactly -> Occurrence: 15
Word: his -> Occurrence: 1467
Word: wife -> Occurrence: 30
Word: lady -> Occurrence: 33
Word: received -> Occurrence: 17
Word: frightened -> Occurrence: 14
Word: mumbled -> Occurrence: 1
Word: out -> Occurrence: 428
Word: money -> Occurrence: 16
Word: sent -> Occurrence: 38
Word: knew -> Occurrence: 128
Word: tell -> Occurrence: 192
Word: anything -> Occurrence: 97
Word: both -> Occurrence: 84
Word: crossed -> Occurrence: 11
Word: themselves -> Occurrence: 29
Word: saying -> Occurrence: 50
Word: nothing -> Occurrence: 112
Word: simply -> Occurrence: 44
Word: refused -> Occurrence: 4
Word: speak -> Occurrence: 66
Word: starting -> Occurrence: 12
Word: else -> Occurrence: 30
Word: mysterious -> Occurrence: 9
Word: means -> Occurrence: 24
Word: comforting -> Occurrence: 5
Word: room -> Occurrence: 205
Word: hysterical -> Occurrence: 5
Word: oh -> Occurrence: 133
Word: young -> Occurrence: 52
Word: excited -> Occurrence: 7
Word: state -> Occurrence: 29
Word: grip -> Occurrence: 4
Word: language -> Occurrence: 8
Word: follow -> Occurrence: 36
Word: asking -> Occurrence: 14
Word: many -> Occurrence: 101
Word: engaged -> Occurrence: 8
Word: important -> Occurrence: 11
Word: business -> Occurrence: 21
Word: again -> Occurrence: 246
Word: fourth -> Occurrence: 4
Word: shook -> Occurrence: 30
Word: head -> Occurrence: 105
Word: eve -> Occurrence: 1
Word: georges -> Occurrence: 2
Word: clock -> Occurrence: 12
Word: strikes -> Occurrence: 2
Word: midnight -> Occurrence: 7
Word: evil -> Occurrence: 23
Word: things -> Occurrence: 170
Word: sway -> Occurrence: 1
Word: where -> Occurrence: 214
Word: evident -> Occurrence: 18
Word: distress -> Occurrence: 5
Word: tried -> Occurrence: 61
Word: comfort -> Occurrence: 36
Word: effect -> Occurrence: 28
Word: finally -> Occurrence: 20
Word: knees -> Occurrence: 23
Word: implored -> Occurrence: 6
Word: wait -> Occurrence: 44
Word: two -> Occurrence: 128
Word: ridiculous -> Occurrence: 2
Word: feel -> Occurrence: 77
Word: allow -> Occurrence: 6
Word: interfere -> Occurrence: 3
Word: therefore -> Occurrence: 18
Word: raise -> Occurrence: 9
Word: gravely -> Occurrence: 19
Word: thanked -> Occurrence: 10
Word: duty -> Occurrence: 40
Word: imperative -> Occurrence: 2
Word: rose -> Occurrence: 38
Word: dried -> Occurrence: 2
Word: eyes -> Occurrence: 187
Word: taking -> Occurrence: 34
Word: crucifix -> Occurrence: 18
Word: neck -> Occurrence: 30
Word: offered -> Occurrence: 4
Word: english -> Occurrence: 17
Word: churchman -> Occurrence: 1
Word: taught -> Occurrence: 2
Word: regard -> Occurrence: 10
Word: measure -> Occurrence: 10
Word: idolatrous -> Occurrence: 2
Word: ungracious -> Occurrence: 1
Word: refuse -> Occurrence: 8
Word: meaning -> Occurrence: 9
Word: mind -> Occurrence: 101
Word: suppose -> Occurrence: 53
Word: doubt -> Occurrence: 41
Word: face -> Occurrence: 205
Word: put -> Occurrence: 106
Word: rosary -> Occurrence: 1
Word: mothers -> Occurrence: 11
Word: sake -> Occurrence: 28
Word: writing -> Occurrence: 19
Word: part -> Occurrence: 58
Word: diary -> Occurrence: 92
Word: whilst -> Occurrence: 101
Word: waiting -> Occurrence: 28
Word: whether -> Occurrence: 19
Word: ladys -> Occurrence: 4
Word: fear -> Occurrence: 132
Word: ghostly -> Occurrence: 7
Word: itself -> Occurrence: 20
Word: feeling -> Occurrence: 33
Word: easy -> Occurrence: 15
Word: book -> Occurrence: 16
Word: ever -> Occurrence: 130
Word: reach -> Occurrence: 13
Word: let -> Occurrence: 144
Word: goodbye -> Occurrence: 22
Word: comes -> Occurrence: 39
Word: castlethe -> Occurrence: 1
Word: grey -> Occurrence: 20
Word: passed -> Occurrence: 56
Word: sun -> Occurrence: 51
Word: distant -> Occurrence: 9
Word: horizon -> Occurrence: 9
Word: jagged -> Occurrence: 5
Word: trees -> Occurrence: 21
Word: off -> Occurrence: 149
Word: sleepy -> Occurrence: 15
Word: till -> Occurrence: 133
Word: awake -> Occurrence: 26
Word: naturally -> Occurrence: 11
Word: write -> Occurrence: 62
Word: odd -> Occurrence: 20
Word: lest -> Occurrence: 38
Word: reads -> Occurrence: 1
Word: fancy -> Occurrence: 11
Word: dined -> Occurrence: 7
Word: robber -> Occurrence: 1
Word: steakbits -> Occurrence: 1
Word: bacon -> Occurrence: 1
Word: onion -> Occurrence: 1
Word: beef -> Occurrence: 1
Word: seasoned -> Occurrence: 1
Word: strung -> Occurrence: 1
Word: sticks -> Occurrence: 1
Word: roasted -> Occurrence: 1
Word: fire -> Occurrence: 34
Word: simple -> Occurrence: 16
Word: style -> Occurrence: 3
Word: cats -> Occurrence: 5
Word: meat -> Occurrence: 2
Word: wine -> Occurrence: 5
Word: mediasch -> Occurrence: 1
Word: produces -> Occurrence: 1
Word: sting -> Occurrence: 3
Word: tongue -> Occurrence: 10
Word: disagreeable -> Occurrence: 1
Word: only -> Occurrence: 282
Word: couple -> Occurrence: 7
Word: glasses -> Occurrence: 6
Word: driver -> Occurrence: 29
Word: taken -> Occurrence: 47
Word: seat -> Occurrence: 31
Word: talking -> Occurrence: 16
Word: landlady -> Occurrence: 2
Word: now -> Occurrence: 402
Word: sitting -> Occurrence: 30
Word: bench -> Occurrence: 2
Word: doorwhich -> Occurrence: 1
Word: name -> Occurrence: 20
Word: wordbearercame -> Occurrence: 1
Word: listened -> Occurrence: 9
Word: pityingly -> Occurrence: 3
Word: hear -> Occurrence: 101
Word: words -> Occurrence: 48
Word: often -> Occurrence: 18
Word: repeated -> Occurrence: 6
Word: crowd -> Occurrence: 10
Word: quietly -> Occurrence: 20
Word: polyglot -> Occurrence: 3
Word: dictionary -> Occurrence: 1
Word: bag -> Occurrence: 31
Word: say -> Occurrence: 147
Word: cheering -> Occurrence: 1
Word: amongst -> Occurrence: 40
Word: ordogsatan -> Occurrence: 1
Word: pokolhell -> Occurrence: 1
Word: stregoicawitch -> Occurrence: 2
Word: vrolok -> Occurrence: 1
Word: vlkoslakboth -> Occurrence: 1
Word: mean -> Occurrence: 42
Word: same -> Occurrence: 114
Word: thing -> Occurrence: 97
Word: slovak -> Occurrence: 7
Word: servian -> Occurrence: 1
Word: either -> Occurrence: 38
Word: werewolf -> Occurrence: 1
Word: vampire -> Occurrence: 24
Word: these -> Occurrence: 113
Word: superstitions -> Occurrence: 2
Word: inn -> Occurrence: 4
Word: swelled -> Occurrence: 1
Word: considerable -> Occurrence: 10
Word: size -> Occurrence: 6
Word: sign -> Occurrence: 25
Word: cross -> Occurrence: 16
Word: pointed -> Occurrence: 30
Word: fingers -> Occurrence: 14
Word: difficulty -> Occurrence: 20
Word: fellowpassenger -> Occurrence: 1
Word: meant -> Occurrence: 22
Word: answer -> Occurrence: 44
Word: first -> Occurrence: 132
Word: learning -> Occurrence: 3
Word: explained -> Occurrence: 6
Word: charm -> Occurrence: 3
Word: guard -> Occurrence: 14
Word: against -> Occurrence: 66
Word: eye -> Occurrence: 21
Word: pleasant -> Occurrence: 6
Word: unknown -> Occurrence: 11
Word: meet -> Occurrence: 41
Word: kindhearted -> Occurrence: 1
Word: sorrowful -> Occurrence: 4
Word: sympathetic -> Occurrence: 2
Word: touched -> Occurrence: 27
Word: never -> Occurrence: 128
Word: forget -> Occurrence: 23
Word: last -> Occurrence: 136
Word: innyard -> Occurrence: 1
Word: its -> Occurrence: 150
Word: crossing -> Occurrence: 11
Word: stood -> Occurrence: 79
Word: archway -> Occurrence: 1
Word: background -> Occurrence: 2
Word: rich -> Occurrence: 3
Word: foliage -> Occurrence: 1
Word: oleander -> Occurrence: 1
Word: orange -> Occurrence: 2
Word: green -> Occurrence: 19
Word: tubs -> Occurrence: 1
Word: clustered -> Occurrence: 1
Word: yard -> Occurrence: 8
Word: whose -> Occurrence: 30
Word: drawers -> Occurrence: 1
Word: covered -> Occurrence: 17
Word: whole -> Occurrence: 73
Word: boxseatgotza -> Occurrence: 1
Word: themcracked -> Occurrence: 1
Word: whip -> Occurrence: 4
Word: small -> Occurrence: 39
Word: horses -> Occurrence: 57
Word: abreast -> Occurrence: 3
Word: soon -> Occurrence: 68
Word: sight -> Occurrence: 38
Word: recollection -> Occurrence: 2
Word: fears -> Occurrence: 20
Word: scene -> Occurrence: 11
Word: drove -> Occurrence: 19
Word: although -> Occurrence: 17
Word: languages -> Occurrence: 2
Word: fellowpassengers -> Occurrence: 1
Word: speaking -> Occurrence: 32
Word: might -> Occurrence: 159
Word: throw -> Occurrence: 12
Word: easily -> Occurrence: 10
Word: lay -> Occurrence: 70
Word: sloping -> Occurrence: 2
Word: forests -> Occurrence: 2
Word: woods -> Occurrence: 5
Word: crowned -> Occurrence: 1
Word: clumps -> Occurrence: 1
Word: farmhouses -> Occurrence: 1
Word: blank -> Occurrence: 6
Word: gable -> Occurrence: 1
Word: end -> Occurrence: 71
Word: road -> Occurrence: 31
Word: everywhere -> Occurrence: 5
Word: bewildering -> Occurrence: 1
Word: mass -> Occurrence: 15
Word: fruit -> Occurrence: 1
Word: blossomapple -> Occurrence: 1
Word: plum -> Occurrence: 2
Word: pear -> Occurrence: 1
Word: cherry -> Occurrence: 1
Word: grass -> Occurrence: 7
Word: spangled -> Occurrence: 1
Word: fallen -> Occurrence: 18
Word: petals -> Occurrence: 1
Word: mittel -> Occurrence: 2
Word: losing -> Occurrence: 4
Word: swept -> Occurrence: 24
Word: grassy -> Occurrence: 1
Word: curve -> Occurrence: 4
Word: shut -> Occurrence: 30
Word: straggling -> Occurrence: 2
Word: ends -> Occurrence: 6
Word: pine -> Occurrence: 4
Word: hillsides -> Occurrence: 1
